DATE,WM1NS
1999-01-01,1112.2250000000000000
1999-02-01,1085.6000000000000000
1999-03-01,1094.6200000000000000
1999-04-01,1115.7000000000000000
1999-05-01,1098.0400000000000000
1999-06-01,1095.7500000000000000
1999-07-01,1097.5750000000000000
1999-08-01,1094.5400000000000000
1999-09-01,1084.8000000000000000
1999-10-01,1093.6250000000000000
1999-11-01,1111.5800000000000000
1999-12-01,1140.1500000000000000
2000-01-01,1135.3800000000000000
2000-02-01,1096.6500000000000000
2000-03-01,1105.0500000000000000
2000-04-01,1129.1750000000000000
2000-05-01,1101.5400000000000000
2000-06-01,1100.1000000000000000
2000-07-01,1105.7600000000000000
2000-08-01,1092.4250000000000000
2000-09-01,1088.8750000000000000
2000-10-01,1092.8400000000000000
2000-11-01,1090.9500000000000000
2000-12-01,1103.2750000000000000
2001-01-01,1108.4000000000000000
2001-02-01,1089.6250000000000000
2001-03-01,1106.0250000000000000
2001-04-01,1128.9800000000000000
2001-05-01,1110.7500000000000000
2001-06-01,1123.7250000000000000
2001-07-01,1141.1600000000000000
2001-08-01,1140.9750000000000000
2001-09-01,1193.9750000000000000
2001-10-01,1160.6400000000000000
2001-11-01,1166.3750000000000000
2001-12-01,1207.4800000000000000
2002-01-01,1190.3250000000000000
2002-02-01,1178.5000000000000000
2002-03-01,1190.7250000000000000
2002-04-01,1201.7600000000000000
2002-05-01,1181.5500000000000000
2002-06-01,1192.1750000000000000
2002-07-01,1203.4600000000000000
2002-08-01,1177.4250000000000000
2002-09-01,1191.6200000000000000
2002-10-01,1190.9250000000000000
2002-11-01,1199.3250000000000000
2002-12-01,1246.9800000000000000
2003-01-01,1223.6750000000000000
2003-02-01,1225.9000000000000000
2003-03-01,1245.9400000000000000
2003-04-01,1256.5000000000000000
2003-05-01,1262.3000000000000000
2003-06-01,1287.6200000000000000
2003-07-01,1282.2500000000000000
2003-08-01,1291.0000000000000000
2003-09-01,1291.1200000000000000
2003-10-01,1282.9000000000000000
2003-11-01,1291.6750000000000000
2003-12-01,1329.6400000000000000
2004-01-01,1303.2000000000000000
2004-02-01,1303.9000000000000000
2004-03-01,1334.1600000000000000
2004-04-01,1339.8250000000000000
2004-05-01,1340.6200000000000000
2004-06-01,1342.9250000000000000
2004-07-01,1336.2250000000000000
2004-08-01,1356.2600000000000000
2004-09-01,1343.4750000000000000
2004-10-01,1348.9750000000000000
2004-11-01,1373.9400000000000000
2004-12-01,1390.4500000000000000
2005-01-01,1374.7000000000000000
2005-02-01,1355.0000000000000000
2005-03-01,1374.6750000000000000
2005-04-01,1370.7750000000000000
2005-05-01,1373.9800000000000000
2005-06-01,1377.5500000000000000
2005-07-01,1366.7500000000000000
2005-08-01,1378.1800000000000000
2005-09-01,1359.0000000000000000
2005-10-01,1372.8200000000000000
2005-11-01,1369.3750000000000000
2005-12-01,1387.9750000000000000
2006-01-01,1387.5800000000000000
2006-02-01,1362.0000000000000000
2006-03-01,1383.8250000000000000
2006-04-01,1399.0750000000000000
2006-05-01,1394.1200000000000000
2006-06-01,1373.6750000000000000
2006-07-01,1377.4800000000000000
2006-08-01,1363.4000000000000000
2006-09-01,1347.9750000000000000
2006-10-01,1364.6000000000000000
2006-11-01,1362.3750000000000000
2006-12-01,1379.4500000000000000
2007-01-01,1380.0600000000000000
2007-02-01,1349.2750000000000000
2007-03-01,1366.8500000000000000
2007-04-01,1400.5000000000000000
2007-05-01,1379.5000000000000000
2007-06-01,1367.1750000000000000
2007-07-01,1376.8400000000000000
2007-08-01,1364.4000000000000000
2007-09-01,1361.1000000000000000
2007-10-01,1368.8200000000000000
2007-11-01,1367.6750000000000000
2007-12-01,1398.3800000000000000
2008-01-01,1370.5000000000000000
2008-02-01,1364.3250000000000000
2008-03-01,1403.5000000000000000
2008-04-01,1402.2500000000000000
2008-05-01,1392.0500000000000000
2008-06-01,1413.2800000000000000
2008-07-01,1410.8250000000000000
2008-08-01,1399.9750000000000000
2008-09-01,1439.8800000000000000
2008-10-01,1450.1750000000000000
2008-11-01,1506.1750000000000000
2008-12-01,1617.3800000000000000
2009-01-01,1588.7500000000000000
2009-02-01,1551.8000000000000000
2009-03-01,1594.4800000000000000
2009-04-01,1623.2750000000000000
2009-05-01,1613.4500000000000000
2009-06-01,1661.6800000000000000
2009-07-01,1649.2000000000000000
2009-08-01,1660.2200000000000000
2009-09-01,1636.0500000000000000
2009-10-01,1652.3750000000000000
2009-11-01,1692.5600000000000000
2009-12-01,1713.9750000000000000
2010-01-01,1681.2000000000000000
2010-02-01,1680.5750000000000000
2010-03-01,1726.2000000000000000
2010-04-01,1711.5250000000000000
2010-05-01,1717.9200000000000000
2010-06-01,1725.2500000000000000
2010-07-01,1712.7250000000000000
2010-08-01,1745.9600000000000000
2010-09-01,1732.6000000000000000
2010-10-01,1759.9000000000000000
2010-11-01,1829.2200000000000000
2010-12-01,1853.5250000000000000
2011-01-01,1871.7800000000000000
2011-02-01,1858.6750000000000000
2011-03-01,1896.1250000000000000
2011-04-01,1915.9750000000000000
2011-05-01,1941.6800000000000000
2011-06-01,1940.1000000000000000
2011-07-01,1973.3250000000000000
2011-08-01,2102.5400000000000000
2011-09-01,2086.7250000000000000
2011-10-01,2141.6200000000000000
2011-11-01,2156.4750000000000000
2011-12-01,2183.4750000000000000
2012-01-01,2230.4600000000000000
2012-02-01,2189.8500000000000000
2012-03-01,2225.7250000000000000
2012-04-01,2284.9400000000000000
2012-05-01,2236.7000000000000000
2012-06-01,2259.1750000000000000
2012-07-01,2322.5800000000000000
2012-08-01,2317.2250000000000000
