DATE,JPNCPIALLMINMEI
1999-01-01,99.8727411555103
1999-02-01,99.4655128531433
1999-03-01,99.567319928735
1999-04-01,100.076355306694
1999-05-01,100.076355306694
1999-06-01,99.7709340799186
1999-07-01,99.3637057775516
1999-08-01,99.6691270043268
1999-09-01,99.9745482311021
1999-10-01,100.178162382286
1999-11-01,99.567319928735
1999-12-01,99.2618987019598
2000-01-01,99.160091626368
2000-02-01,98.8546703995928
2000-03-01,99.0582845507763
2000-04-01,99.2618987019598
2000-05-01,99.3637057775516
2000-06-01,99.160091626368
2000-07-01,98.8546703995928
2000-08-01,99.160091626368
2000-09-01,99.0582845507763
2000-10-01,99.0582845507763
2000-11-01,98.752863324001
2000-12-01,98.8546703995928
2001-01-01,98.8546703995928
2001-02-01,98.5492491728175
2001-03-01,98.4474420972258
2001-04-01,98.5492491728175
2001-05-01,98.6510562484093
2001-06-01,98.4474420972258
2001-07-01,98.1420208704505
2001-08-01,98.4474420972258
2001-09-01,98.345635021634
2001-10-01,98.345635021634
2001-11-01,97.8365996436752
2001-12-01,97.7347925680835
2002-01-01,97.5311784169
2002-02-01,97.0221430389412
2002-03-01,97.2257571901247
2002-04-01,97.5311784169
2002-05-01,97.8365996436752
2002-06-01,97.7347925680835
2002-07-01,97.3275642657165
2002-08-01,97.6329854924917
2002-09-01,97.6329854924917
2002-10-01,97.4293713413082
2002-11-01,97.4293713413082
2002-12-01,97.4293713413082
2003-01-01,97.123950114533
2003-02-01,96.8185288877577
2003-03-01,97.123950114533
2003-04-01,97.4293713413082
2003-05-01,97.6329854924917
2003-06-01,97.3275642657165
2003-07-01,97.123950114533
2003-08-01,97.3275642657165
2003-09-01,97.4293713413082
2003-10-01,97.4293713413082
2003-11-01,96.9203359633495
2003-12-01,97.0221430389412
2004-01-01,96.8185288877577
2004-02-01,96.8185288877577
2004-03-01,97.0221430389412
2004-04-01,97.0221430389412
2004-05-01,97.123950114533
2004-06-01,97.3275642657165
2004-07-01,97.0221430389412
